"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Tests","","","1","0","18","0","0"
"","","","0","2","24","0","0"
"UI Tests","Auth / Registration","Пароль: невалидные варианты","0","0","6","3","0"
"UI Tests","Auth / Registration","Полное имя: минимальные требования","0","0","8","0","0"
"UI Tests","Auth / Registration","Некорректный e-mail","0","0","13","11","0"
"UI Tests","Auth / Registration","Неверный/просроченный код подтверждения","0","0","1","0","0"
"API Tests","","","1","0","18","0","0"
"Dashboard","","","0","0","2","0","0"
"Dashboard","UI","","0","0","4","0","0"
"UI Tests","Auth / Login","Ошибки валидации при пустых/частично заполненных полях","0","0","1","0","0"
"UI Tests","Auth / Registration","Организация: минимальные требования","0","0","6","0","0"
"UI Tests","Auth / Login","Доступ к /dashboard без авторизации","0","0","1","0","0"
"UI Tests","Auth / Registration","Организация: допустимы цифры и спецсимволы","0","0","1","0","0"
"UI Tests","Auth / Registration","Пустые поля при регистрации","0","0","1","0","0"
"UI Tests","Auth / Login","Неверный пароль","0","0","1","0","0"
"UI Tests","Auth / Registration","E-mail уже зарегистрирован","0","0","1","0","0"
"UI Tests","Auth / Login","Успешный вход","0","0","1","0","0"
"UI Tests","Auth / Login","Logout: защита после выхода","0","0","1","0","0"
"UI Tests","Auth / Registration","Успешная регистрация нового пользователя","0","0","1","0","0"
"UI Tests","Auth / Login","Неверный email","0","0","1","0","0"
